source,model,symbol,direction,is_live,ts_in_utc,ts_out_utc,ts_in_wita,ts_out_wita,date_entry_utc,date_entry_wita,entry,exit,tp,sl,outcome,net_pnl,modal_used,signal_confidence,hold_bars,status,is_win
live_db,ic32_regime_v1,LINKUSDT,SHORT,1,2026-06-12T14:05:20.678230+00:00,2026-06-12T14:57:18.900075+00:00,2026-06-12 22:05:20,2026-06-12 22:57:18,2026-06-12,2026-06-12,7.827084500000001,7.972865545036915,7.695560082061309,7.968881104484673,sl_hit,-0.9393,10.0,0.6327,0,closed,False
live_db,ic32_regime_v1,1000PEPEUSDT,LONG,1,2026-06-12T18:05:08.610315+00:00,2026-06-13T05:32:19.183041+00:00,2026-06-13 02:05:08,2026-06-13 13:32:19,2026-06-12,2026-06-13,0.00282050955,0.0027914036,0.002890341249807452,0.002763842075048137,guardian_exit,-0.524,10.0,0.7433,11,closed,False
live_db,ic32_regime_v1,DOTUSDT,LONG,1,2026-06-12T18:05:31.720710+00:00,2026-06-13T03:52:18.863412+00:00,2026-06-13 02:05:31,2026-06-13 11:52:18,2026-06-12,2026-06-13,0.9574784999999999,0.9685155,0.9822983217691064,0.9377950445577233,guardian_exit,0.5684,10.0,0.8886,9,closed,True
live_db,ic32_regime_v1,AVAXUSDT,LONG,1,2026-06-12T19:05:03.339752+00:00,2026-06-12T23:22:18.879181+00:00,2026-06-13 03:05:03,2026-06-13 07:22:18,2026-06-12,2026-06-13,6.599298,6.5357305,6.741029390787752,6.478567152303063,guardian_exit,-0.4896,10.0,0.7364,4,closed,False
live_db,ic32_regime_v1,1000SHIBUSDT,LONG,1,2026-06-13T00:05:27.166973+00:00,2026-06-13T04:42:18.924970+00:00,2026-06-13 08:05:27,2026-06-13 12:42:18,2026-06-13,2026-06-13,0.0048414195,0.0048885545,0.00491089517623006,0.004779631080942485,guardian_exit,0.4788,10.0,0.8008,4,closed,True
live_db,ic32_regime_v1,DOTUSDT,SHORT,1,2026-06-13T04:05:29.225257+00:00,2026-06-13T06:37:18.633897+00:00,2026-06-13 12:05:29,2026-06-13 14:37:18,2026-06-13,2026-06-13,0.963518,0.9744869999999999,0.9453464819986002,0.9771466385010499,guardian_exit,-0.5772,10.0,0.7352,2,closed,False
live_db,ic32_regime_v1,AVAXUSDT,SHORT,1,2026-06-13T05:05:03.374702+00:00,2026-06-13T07:21:47.054836+00:00,2026-06-13 13:05:03,2026-06-13 15:21:47,2026-06-13,2026-06-13,6.593701500000001,6.6563265,6.497204206558986,6.666074470080762,guardian_exit,-0.4829,10.0,0.7357,2,closed,False
live_db,ic32_regime_v1,LINKUSDT,SHORT,1,2026-06-17T15:21:09.874612+00:00,2026-06-17T16:28:06.173689+00:00,2026-06-17 23:21:09,2026-06-18 00:28:06,2026-06-17,2026-06-17,8.194900500000001,8.342168999999998,8.026280731537511,8.337154942115623,sl_hit,-0.9385,10.0,0.6484,1,closed,False
live_db,ic32_regime_v1,TONUSDT,LONG,1,2026-06-17T19:05:51.610460+00:00,2026-06-18T03:05:27.876612+00:00,2026-06-18 03:05:51,2026-06-18 11:05:27,2026-06-17,2026-06-18,1.65352635,1.6844573500000002,1.7009142493737874,1.603553025156553,guardian_exit,0.4477,5.0,0.7834,7,closed,True
live_db,ic32_regime_v1,ETHUSDT,SHORT,1,2026-06-18T01:05:43.808550+00:00,2026-06-18T04:14:14.555835+00:00,2026-06-18 09:05:43,2026-06-18 12:14:14,2026-06-18,2026-06-18,1756.131495,1735.54734,1719.9014818187122,1804.637503295322,guardian_exit,0.273,5.0,0.8805,3,closed,True
live_db,ic32_regime_v1,DOGEUSDT,LONG,1,2026-06-18T12:06:15.116102+00:00,,2026-06-18 20:06:15,,2026-06-18,2026-06-18,0.08448222,,0.08572911137383757,0.0835282771565406,,,10.0,0.9837,2,open,False
live_db,ic32_regime_v1,ADAUSDT,LONG,1,2026-06-18T12:06:45.045792+00:00,,2026-06-18 20:06:45,,2026-06-18,2026-06-18,0.16488239999999998,,0.16830224033676677,0.1623175197474249,,,10.0,0.8983,2,open,False
live_db,ic32_regime_v1,DOTUSDT,LONG,1,2026-06-18T12:06:57.127785+00:00,,2026-06-18 20:06:57,,2026-06-18,2026-06-18,0.9714854999999999,,0.9920628788611229,0.9560524658541576,,,10.0,0.7461,2,open,False
live_db,ic32_regime_v1,1000PEPEUSDT,LONG,1,2026-06-18T14:05:34.532190+00:00,,2026-06-18 22:05:34,,2026-06-18,2026-06-18,0.0028732359,,0.0029393028218307657,0.0028236857086269256,,,10.0,0.8783,0,open,False
live_db,ic32_regime_v1,ETHUSDT,LONG,1,2026-06-18T14:05:48.466943+00:00,,2026-06-18 22:05:48,,2026-06-18,2026-06-18,1734.867,,1762.0627478424217,1714.1010630393946,,,10.0,0.8725,0,open,False
