bar_in,bar_out,direction,entry,exit,tp,sl,rr,outcome,net_pnl,equity,modal_used,partial_bar,partial_pnl,partial_price,partial_ratio
13374,13375,LONG,16.798395,17.53123,17.54,16.34708677776093,1.64,GUARDIAN_MOMENTUM_EXIT,2.1413,83.7285,10.0,,0.0,,
13430,13466,SHORT,18.740625,18.7499953125,18.125426930678334,19.333799517330416,1.04,TIMEOUT_MOMENTUM,0.1351,83.8636,10.0,13433.0,0.1776,18.6093,0.5
13553,13589,LONG,16.518255,16.5099958725,17.104267524259203,15.8534968689352,0.88,TIMEOUT_MOMENTUM,0.1923,84.0559,10.0,13557.0,0.2348,16.67166,0.5
13617,13628,SHORT,17.011490000000002,17.04852,16.539676054303623,17.377953486424097,1.29,GUARDIAN_EXIT,-0.1488,83.907,10.0,,0.0,,
13689,13695,LONG,17.8089,17.48357897811112,18.199599437274166,17.49232514068146,1.23,LOSS,-0.9534,82.9537,10.0,,0.0,,
13718,13722,LONG,17.388689999999997,17.441275,17.776972925118198,17.06292926872045,1.19,GUARDIAN_MOMENTUM_EXIT,0.1112,83.0649,10.0,,0.0,,
13722,13729,SHORT,17.441275,17.08854,16.985625249396527,17.923912437650866,0.94,GUARDIAN_EXIT,0.9712,84.0361,10.0,,0.0,,
13838,13874,SHORT,19.53023,19.539995115,19.080841654658897,19.902347086335276,1.21,TIMEOUT_MOMENTUM,0.1142,84.1503,10.0,13840.0,0.1567,19.4097,0.5
13919,13928,SHORT,20.409790000000005,20.898970662678053,19.775684402086746,20.888526399478316,1.32,LOSS,-0.4925,83.6578,10.0,13921.0,0.1367,20.300145,0.5
14168,14171,LONG,22.761374999999997,22.668660000000003,23.85,22.111431603741472,1.67,GUARDIAN_EXIT,-0.2437,83.4142,10.0,,0.0,,
14361,14366,LONG,19.76988,19.810090000000002,20.156184015138418,19.253423996215396,0.75,GUARDIAN_MOMENTUM_EXIT,0.0617,83.4758,10.0,,0.0,,
14494,14505,SHORT,18.37081,18.529259999999997,18.080787024378754,18.67250574390531,0.96,GUARDIAN_EXIT,-0.4713,83.0046,10.0,,0.0,,
14602,14622,SHORT,19.03048,19.66816324805742,18.54,19.658334081016914,0.78,LOSS,-0.6143,82.3902,10.0,14604.0,0.2534,18.839415,0.5
14938,14939,LONG,15.16758,15.792100000000001,15.624878045259711,14.805675488685072,1.26,GUARDIAN_MOMENTUM_EXIT,2.0187,84.409,10.0,,0.0,,
15111,15118,LONG,8.92446,7.671349926451878,10.463709919152064,7.675187520211984,1.23,LOSS,-3.0866,81.3224,10.0,15114.0,0.4537,9.085455,0.5
15125,15161,LONG,8.394195,8.389997902500001,9.577415840405648,7.004194789898588,0.85,TIMEOUT_MOMENTUM,1.1263,82.4487,10.0,15128.0,1.1688,8.785605,0.5
15133,15169,LONG,8.604299999999999,8.59999785,9.55656854007721,7.701932864980697,1.06,TIMEOUT_MOMENTUM,0.2546,82.7033,10.0,15136.0,0.2971,8.705645,0.5
15213,15215,SHORT,11.214390000000002,10.78539,10.677317367108746,12.004268158222812,0.68,GUARDIAN_EXIT,1.8727,84.576,10.0,,0.0,,
15214,15219,SHORT,11.25437,11.10555,10.69,12.003032403793105,0.75,GUARDIAN_MOMENTUM_EXIT,0.6212,85.1972,10.0,,0.0,,
15289,15292,LONG,9.524759999999999,10.044975,10.08,9.097843749483381,1.3,GUARDIAN_MOMENTUM_EXIT,2.6909,87.888,10.0,,0.0,,
15290,15292,LONG,9.524759999999999,10.044975,10.001568335124277,9.100797916218932,1.12,GUARDIAN_MOMENTUM_EXIT,2.6909,90.5789,10.0,,0.0,,
15438,15474,SHORT,10.064965,10.0699974825,9.768531566235247,10.37410835844119,0.96,TIMEOUT_MOMENTUM,0.2082,90.7871,10.0,15443.0,0.2507,9.96498,0.5
15606,15608,SHORT,10.464765000000002,10.035015,10.03,10.761770082945665,1.46,GUARDIAN_MOMENTUM_EXIT,2.0133,92.8004,10.0,,0.0,,
15669,15705,LONG,9.314655,9.3099976725,9.573566164204818,9.120471626846387,1.33,TIMEOUT,0.0692,92.8696,10.0,15674.0,0.1117,9.35532,0.5
15670,15706,LONG,9.334665,9.3299976675,9.577721342310843,9.07923591442229,0.95,TIMEOUT,0.176,93.0457,10.0,15679.0,0.2185,9.41529,0.5
15726,15728,LONG,9.714855,9.705145000000002,9.94,9.547889941685824,1.35,GUARDIAN_EXIT,-0.09,92.9557,10.0,,0.0,,
15761,15764,SHORT,9.245375000000001,9.044519999999999,8.910890678768785,9.583621080307804,0.99,GUARDIAN_EXIT,1.0462,94.002,10.0,,0.0,,
15762,15764,SHORT,9.27536,9.044519999999999,8.942806921599614,9.583138269600097,1.08,GUARDIAN_EXIT,1.2044,95.2063,10.0,,0.0,,
15816,15818,LONG,9.22461,9.09545,9.452531189004663,8.953019702748835,0.84,GUARDIAN_EXIT,-0.7401,94.4662,10.0,,0.0,,
15894,15896,SHORT,6.786605000000001,6.96348,6.2462414181311265,7.465090895467219,0.8,GUARDIAN_EXIT,-1.3431,93.1231,10.0,,0.0,,
15906,15908,LONG,6.78339,7.25637,7.319777062381007,6.381099703214244,1.33,GUARDIAN_EXIT,3.4463,96.5694,10.0,,0.0,,
15945,15949,LONG,7.073535,8.025985,7.577057801262717,6.695892899052962,1.33,GUARDIAN_MOMENTUM_EXIT,6.6925,103.2619,10.0,,0.0,,
15956,15958,LONG,8.204099999999999,7.996,8.804204904266982,7.669973773933255,1.12,GUARDIAN_EXIT,-1.3083,101.9537,10.0,,0.0,,
16030,16032,LONG,6.90345,6.926535,7.286090074918906,6.374339981270273,0.72,GUARDIAN_EXIT,0.1272,102.0809,10.0,,0.0,,
16214,16216,SHORT,8.15592,7.84392,7.868471255267694,8.561862186183077,0.71,GUARDIAN_MOMENTUM_EXIT,1.8727,103.9536,10.0,,0.0,,
16305,16312,SHORT,6.816590000000001,7.047138513003883,6.522123181393768,7.043616704651558,1.3,LOSS,-0.6046,103.3489,10.0,16310.0,0.2709,6.74337,0.5
16308,16311,SHORT,6.806595,6.803399999999999,6.533853192450994,7.018185451887252,1.29,GUARDIAN_EXIT,-0.0165,103.3324,10.0,,0.0,,
16385,16387,SHORT,6.8565700000000005,6.7033499999999995,6.66,7.0338036432061815,1.11,GUARDIAN_EXIT,1.0773,104.4097,10.0,,0.0,,
